Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.462000,-84836000,90,top
C2,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.462000,-75.967500,-90,top
C3,1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.552000,-79.911500,-90,top
C4,1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,177.838000,-79.911500,-90,top
C5,0.1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,143.903500,-78.740000,-90,top
C6,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.347500,-69.066500,-90,top
C7,0.1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,143.903500,-69.066500,-90,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.796000,-100.605500,-90,top
C9,1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,171.294000,-94.992500,90,top
C10,1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.866000,-95.035500,90,top
C11,0.1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.890000,-69.215000,90,top
C12,0.1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.096000,-69.215000,90,top
C13,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.890000,-73.660000,90,top
C14,0.1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.096000,-73.660000,90,top
C15,0.1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.500000,-98.500000,180,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,140.462000,-80.171000,-90,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,131.964000,-94.250000,-90,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,134.250000,-94.250000,-90,top
D4,D_Schottky,SOD-123FL,135.890000,-85.991700,-90,top
IC1,CP2102N-A02-GQFN24,QFN50P400X400X80-25N,128.758000,-75.266000,0,top
J1,USB4085-GF-A_REVA4,GCT_USB4085-GF-A_REVA4,129.405000,-86.355000,-90,top
J2,JST connector SEN55,JST_BM06B-GHS-TBT_LF__SN__N_,182.295000,-102.362000,0,top
J3,ufl connector,U.FL_Molex_MCRF_73412-0110_Vertical,173.531000,-99.797000,180,top
J4,UART Connector,TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal,183.388000,-80.830000,90,top
J6,test point / jst connector,TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal,183.388000,-95.500000,90,top
Q1,IRLML0030,SOT-23,172.720000,-73.581500,90,top
Q2,PMN48XP,TSOP-6_1.65x3.05mm_P0.95mm,176.718000,-69.740000,-90,top
Q3,SS8050-G,TRANS_SS8050-G,132.010000,-103.450000,0,top
Q4,SS8050-G,TRANS_SS8050-G,132.010000,-99.650000,0,top
R1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,143.000000,-84.500000,-90,top
R2,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.580000,-95.014000,-90,top
R4,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168.672000,-73.152000,180,top
R5,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168.672000,-69.596000,180,top
R6,20k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.096000,-78.232000,-90,top
R7,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,135.890000,-78.232000,90,top
R8,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.500000,-94.250000,90,top
R9,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.214000,-94.259.000,90,top
R10,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,176.022000,-73.644000,-90,top
R11,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.054000,-73.612000,90,top
R12,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.482000,-69.580000,90,top
R13,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.500000,-101.500000,0,top
R14,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.500000,-104.450000,0,top
SW1,TC-1102-B-C-B,SW_PUSH_6mm,143.152000,-103.560000,180,top
SW2,TC-1102-B-C-B,SW_PUSH_6mm,172.030000,-90.170000,90,top
U1,LD1117S33TR_SOT223,SOT-223-3_TabPin2,141.732000,-92.304000,-90,top
U2,ESP32-WROOM-32,MODULE_ESP32-WROOM-32,156.645000,-72.125000,0,top
U3,SGP41-D-R4,XDCR_SGP41-D-R4,172.758000,-79.890000,90,top
U4,SX1276S8S+T-X1,SX1276S8S+T-X1,156.560000,-95.600000,0,top

