Designator;Val;Package;Mid X;Mid Y;Rotation;Layer;;;;;
C1;100nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;140.462000mm;-84.836000mm;90;top;;;;;
C2;10µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;140.462000mm;-75.836000mm;-90;top;;;;;
C3;1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;172.462000mm;-77.836000mm;180;top;;;;;
C4;1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;172.462000mm;-80.836000mm;180;top;;;;;
C5;1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;143.462000mm;-78.836000mm;-90;top;;;;;
C6;10µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;140.462000mm;-69.836000mm;-90;top;;;;;
C7;0.1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;143.462000mm;-69.836000mm;-90;top;;;;;
C8;100nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;149.462000mm;-10.836000mm;0;top;;;;;
C9;1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;177.462000mm;-75.836000mm;90;top;;;;;
C10;1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;177.462000mm;-71.836000mm;-90;top;;;;;
C11;0.1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;135.462000mm;-69.836000mm;90;top;;;;;
C12;0.1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;133.462000mm;-69.836000mm;90;top;;;;;
C13;10µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;135.462000mm;-73.836000mm;90;top;;;;;
C14;0.1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;133.462000mm;-73.836000mm;90;top;;;;;
D1;LED;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;140.462000mm;-80.836000mm;-90;top;;;;;
D2;LED;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;129.462000mm;-97.836000mm;90;top;;;;;
D3;LED;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;132.462000mm;-97.836000mm;90;top;;;;;
D4;D_Schottky;SOD-123FL;130.462000mm;-93.836000mm;0;top;;;;;
IC1;CP2102N-A02-GQFN24;QFN50P400X400X80-25N;128.462000mm;-75.836000mm;0;top;;;;;
J1;USB4085-GF-A_REVA4;GCT_USB4085-GF-A_REVA4;129.462000mm;-86.836000mm;-90;top;;;;;
J2;JST connector SEN55;JST_BM06B-GHS-TBT_LF__SN__N_;185.462000mm;-99.836000mm;90;top;;;;;
J3;ufl connector;U.FL_Molex_MCRF_73412-0110_Vertical;173.462000mm;-68.836000mm;0;top;;;;;
J4;UART Connector;TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal;183.462000mm;-80.836000mm;90;top;;;;;
R1;1kΩ;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;144.462000mm;-84.836000mm;-90;top;;;;;
R2;4k7;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;173.462000mm;-73.836000mm;90;top;;;;;
R3;10k;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;143.462000mm;-73.836000mm;-90;top;;;;;
R4;4k7;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;168.462000mm;-73.836000mm;180;top;;;;;
R5;4k7;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;168.462000mm;-68.836000mm;180;top;;;;;
R6;20k;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;133.462000mm;-78.836000mm;-90;top;;;;;
R7;47k;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;135.462000mm;-78.836000mm;90;top;;;;;
R8;1k;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;132.462000mm;-10.836000mm;90;top;;;;;
R9;1k;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;129.462000mm;-10.836000mm;90;top;;;;;
SW1;TC-1102-B-C-B;SW_PUSH_6mm;139.462000mm;-10.836000mm;90;top;;;;;
SW2;TC-1102-B-C-B;SW_PUSH_6mm;172.462000mm;-86.836000mm;0;top;;;;;
U1;LD1117S33TR_SOT223;SOT-223-3_TabPin2;141.462000mm;-92.836000mm;-90;top;;;;;
U2;ESP32-WROOM-32;MODULE_ESP32-WROOM-32;156.462000mm;-72.836000mm;0;top;;;;;
U3;SGP41-D-R4;XDCR_SGP41-D-R4;177.462000mm;-79.836000mm;90;top;;;;;
U4;SX1276S8S+T-X1;SX1276S8S+T-X1;156.462000mm;-95.836000mm;0;top;;;;;
